ab_local_cnt,ab_local_ratio,ab_mobile_cnt,ads_contact_cnt,ads_mp_contact_cnt,ali_rain_score,area_risk_level,bj_ecommerce_score,bj_jc_m36_consume_cnt,bjtz_app_mass_high_num_m12,bjtz_app_use_num_m12,bwjk_risk_tags,bwjk_risk_type,bwjk_score,cl_fraud_score_ronghui,credit_behavior_score,credit_device_score,credit_device_score_ppx,credit_general_credit_score,credit_location_score,credit_overdue_probability_ppx,credit_phone_score,credit_repayment_score_bj,credit_repayment_score_bj_2,credit_score_ronghuixf,credit_score_tq,credit_sma_score_ppx,cs_hc_xdf,cs_lingzhi_score_fullink,cs_multi_score_ronghuidt,cs_swg_bai_score,cust_age,cust_apply_age,cust_birth_date,cust_id_area,cust_work_city,duotou_br_alf_apirisk_all_mean,duotou_br_alf_apirisk_d180_mean,duotou_br_alf_apirisk_d90_mean,duotou_br_alf_count_cell,duotou_br_als_m12_id_caon_allnum,duotou_br_als_m12_id_pdl_orgnum,duotou_br_als_m1_cell_caon_allnum,duotou_br_als_m1_cell_nbank_allnum,duotou_br_als_m1_id_nbank_allnum,duotou_br_als_m1_id_nbank_orgnum,duotou_br_als_m1_id_pdl_orgnum,duotou_br_als_m3_id_nbank_sloan_allnum,duotou_br_als_m6_id_tot_mons,dxm_dt_90d_other_org_cnt,fraud_level_tq,frd_total_count,frd_xffq_count,frd_xfjr_count,hds_36m_day_max_purchase_cnt_excp_doub11_12,hds_36m_day_max_purchase_money_excp_doub11_12,hds_36m_doub11_12_purchase_cnt,hds_36m_doub11_12_total_purchase_money,hds_36m_month_max_purchase_cnt_excp_doub11_12,hds_36m_month_max_purchase_money_excp_doub11_12,hds_36m_purchase_steady,hds_36m_total_purchase_cnt,hds_36m_total_purchse_money,hds_6m_total_purchase_cnt,hds_addr_rich_rank,hds_consume_cat_rich_rank,hds_consume_rich_rank,hds_consume_rich_rank_in_day,hds_consume_rich_rank_in_draw,hds_consume_rich_rank_in_night,hds_cust_aging_rank,hds_cust_rich_rank,hds_first_consumetime_aging_rank,hds_last_consume_time_aging_rank,hds_month_cnt_from_most_early_purchase_time,hds_month_cnt_from_recent_purchase_time,hds_month_consumme_ability,hds_month_consumme_active_rank,hds_pay_record_month_cnt,hds_phone_rich_rank,hds_recent_consumme_ability,hds_total_consumme_ability,hds_total_consumme_active_rank,hds_total_otherplatform_cnt,hds_total_tmallid_cnt,idcard_adres_district,idcard_district,idcard_district_grade,immediate_relation_cnt,kn_relationname_notempty_count,life_app_cnt,loan_app_cnt,mg_callb_cf_searched_total_cnt_30d,mg_callb_pct_cnt_org_cf_24m,mg_callb_searched_cash_org_cnt_5m,mg_callb_searched_cf_org_cnt_30d,mg_callb_searched_cf_org_cnt_90d,mg_callb_searched_total_org_cnt_24m,mg_callb_weight_be_all,mp_grand_1,mp_grand_2,newsreading_app_cnt,night2_6m_use_time,ocr_legality_id_photo_back,ocr_legality_screen_back,ocr_legality_screen_front,ope_total_time_in_use,polly_lbs_address_gradebyaddress,pre_loan_amount,pre_loan_install,relation_contact_cnt,rl_check_channel,rl_confidence,self_cust_tb_zmscore,selffill_degree,sh_recent_loan_apply_trend3,sh_recent_medium_apply_ratio,sh_recent_online_cashloan_apply_trend3,study_app_cnt,systemtool_app_cnt,td_1m_idcard_lending_cnt,td_1m_p2p_cnt,td_1m_total_cnt,td_3m_dxxj_cnt,td_3m_idcard_lending_cnt,td_3m_phone_no_lending_cnt,td_3m_total_cnt,td_3m_xedk_cnt,td_3m_ybxj_cnt,td_xgb_score,td_xyf_dq_score,td_zhixin_score,tx_ty_risk_score,tz_evesums_m12_verif_sum,tz_evesums_m24_verif_sum,tz_evesums_m3_verif_sum,tz_evesums_m6_verif_sum,tz_long_score,tz_platform_infos_m12_verif_count,tz_platform_infos_m24_verif_count,tz_platform_infos_m6_verif_count,umeng_score,upa_avg_consume_amt_12m,upa_avg_consume_amt_6m,upa_avg_consume_cnt_12m,upa_avg_deal_amt_12m,upa_avg_deal_amt_3m,upa_consume_amt_bt_9_to_18_12m,upa_consume_amt_bt_9_to_18_3m,upa_deal_amt_12m,upa_deal_amt_ecpt_wholesale_12m,upa_deal_amt_ecpt_wholesale_6m,upa_deal_amt_in_work_day_and_hours_3m,upa_deal_cnt_12m,upa_debit_card_score,upa_earliest_deal_date_from_201101,upa_failed_deal_amt_12m,upa_failed_deal_amt_6m,upa_failed_deal_cnt_12m,upa_failed_deal_cnt_3m,upa_failed_deal_cnt_6m,upa_failed_deal_days_12m,upa_fund_shortage_amt_12m,upa_fund_shortage_amt_6m,upa_fund_shortage_cnt_12m,upa_fund_shortage_cnt_3m,upa_fund_shortage_days_12m,upa_fund_shortage_days_6m,upa_max_consume_amt_12m,upa_max_consume_amt_6m,upa_max_deal_amt_12m,upa_max_deal_amt_6m,upa_min_consume_amt_12m,upa_min_deal_amt_12m,upa_other_service_cnt_12m,upa_paid_months_12m,upa_query_days_6m,upa_recent_deal_date_12m,upa_recent_deal_time_12m,upa_total_consume_amt_12m,upa_total_deal_amt_low_limit_12m,upa_total_deal_cnt_first_mcc_12m,yxrh_query_cnt_today,zcaf_composite_score,zcaf_decision_suggest,zcaf_second_order_overdue_cnt,fpd4,create_month,cust_no
116.0,1.0,116.0,116.0,117.0,61.09,2.0,626.0,23.0,2.0,2.0,-99.0,-99.0,-99.0,50.0,589.0,828.0,0.08786000000000001,592.0,691.0,0.02588,-99.0,646.0,562.0,0.071671329,695.0,672.0,616.0,656.0,0.0,69.5,29.0,29.0,19900527.0,445221.0,445203.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,6.0,2.0,1.0,14.0,282.79,0.0,0.0,14.0,282.79,1.240751617412602,56.0,702.55,3.0,2.0,5.0,3.0,5.0,3.0,4.0,2.0,5.0,6.0,3.0,36.0,4.0,4.0,4.0,11.0,1.0,2.0,4.0,6.0,4.0,2.0,441622.0,-99.0,-99.0,3.0,118.0,0.0,0.0,0.0,0.3836,1.0,0.0,1.0,2.0,32.62,0.0,2.0,0.0,-99.0,1.0,0.0,0.003,-99.0,4.0,-99.0,-99.0,12.0,5.0,98.0,3.0,15.0,102.0,33.33,103.0,0.0,0.0,2.0,-99.0,2.0,1.0,6.0,6.0,6.0,-99.0,2.0,0.019500220194459,0.0092,617.0,44.0,2.0,4.0,1.0,1.0,408.0,1.0,2.0,1.0,697.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2124.0,2124.0,164.0,113.0,164.0,83.0,1924.0,1924.0,154.0,103.0,79.0,79.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,529.0,2.0,0.0,0,2020-01,160050898433
95.0,0.61,146.0,156.0,153.0,75.51,3.0,-99.0,-99.0,2.0,3.0,-99.0,-99.0,-99.0,67.0,536.0,698.0,0.14307,572.0,691.0,0.03653,-99.0,584.0,520.0,0.1989663777,639.0,646.0,642.0,618.0,5.0,62.3,44.0,44.0,19750706.0,362137.0,360735.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,9.0,3.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,12.0,157.0,4.0,1.0,0.0,0.4971,1.0,0.0,1.0,3.0,49.05,0.0,6.0,1.0,-99.0,1.0,0.0,0.0,-99.0,3.0,30000.0,3.0,14.0,3.0,85.13799999999999,2.0,10.0,103.0,50.0,104.0,0.0,11.0,6.0,1.0,6.0,1.0,9.0,7.0,9.0,2.0,1.0,0.0619677342474461,0.0242,552.0,73.0,2.0,2.0,0.0,1.0,395.0,2.0,2.0,1.0,715.0,1206.42,1412.83,0.5,1206.42,2825.67,3006.4,6.4,14477.0,14477.0,4.0,2658.34,6.0,334.0,20180802.0,655.0,655.0,1.0,1.0,1.0,1.0,655.0,655.0,1.0,1.0,1.0,1.0,4410.46,4410.46,4410.46,4410.46,6.4,6.4,5.0,4.0,0.0,20191115.0,20191115160000.0,14477.0,0.0,10004.0,0.0,-99.0,0.0,4.0,0,2020-01,160050915948
4.0,1.0,4.0,4.0,5.0,8.69,3.0,552.0,3.0,2.0,4.0,2.0,2.0,65.1,60.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0046700000000000005,-99.0,356.0,622.0,-99.0,695.0,799.0,558.0,556.0,9.0,86.3,25.0,25.0,19940404.0,230603.0,230603.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,6.0,1.0,0.0,2.0,69.0,0.0,0.0,2.0,69.0,0.5681818181818182,3.0,88.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,5.0,5.0,29.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,-99.0,230603.0,2.0,0.0,4.0,0.0,0.0,0.0,0.7020000000000001,2.0,0.0,0.0,6.0,97.02,-99.0,-99.0,0.0,-99.0,1.0,0.0,0.0,-99.0,2.0,10000.0,12.0,0.0,3.0,79.936,3.0,30.0,50.0,50.0,0.0,0.0,0.0,4.0,-99.0,4.0,-99.0,6.0,4.0,6.0,1.0,1.0,0.0248136688023806,0.0028,682.0,77.0,7.0,19.0,0.0,3.0,587.0,7.0,11.0,3.0,-98.0,17642.0,19081.83,11.25,17650.33,17179.67,84636.13,12123.38,211804.0,210212.0,58.0,10.4,136.0,1.0,20180226.0,292052.0,213167.0,188.0,106.0,139.0,67.0,292052.0,213167.0,188.0,106.0,67.0,37.0,5714.5,5714.5,5714.5,5714.5,2.78,2.78,132.0,12.0,0.0,20191229.0,20191229200000.0,211704.0,16080.0,153777.0,0.0,517.0,2.0,0.0,0,2020-02,160051283390
212.0,0.72,261.0,291.0,264.0,89.76,4.0,-99.0,-99.0,1.0,1.0,0.0,0.0,0.0,63.0,413.0,551.0,0.31648000000000004,460.0,516.0,0.0841,492.0,730.0,611.0,0.0258287283,606.0,582.0,646.0,507.0,8.0,66.1,42.0,42.0,19780111.0,130524.0,130524.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,8.0,4.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,130524.0,4.0,4.0,297.0,9.0,8.0,2.0,0.4971,1.0,2.0,2.0,3.0,23.83,2.0,9.0,1.0,-99.0,1.0,0.0,0.0,-99.0,3.0,-99.0,-99.0,6.0,3.0,81.553,2.0,20.0,100.0,20.0,101.0,1.0,12.0,5.0,1.0,6.0,1.0,7.0,8.0,8.0,-99.0,4.0,0.0690485760569572,0.0222,582.0,83.0,12.0,13.0,2.0,2.0,408.0,3.0,3.0,2.0,659.0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,9900.0,9900.0,0.0,0.0,2.0,737.0,20171101.0,20.0,20.0,1.0,0.0,1.0,1.0,20.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,5510.98,0.0,0.0,5418.64,0.0,1.0,0.0,20190606.0,20190606190000.0,0.0,0.0,9900.0,0.0,-99.0,0.0,-99.0,0,2020-02,160051639221
50.0,0.59,76.0,84.0,80.0,77.4,1.0,-99.0,-99.0,0.0,2.0,0.0,0.0,68.08,90.0,511.0,850.0,0.21585,443.0,619.0,0.07804,-99.0,590.0,394.0,0.1559823672,404.0,588.0,637.0,615.0,10.0,-99.0,32.0,32.0,19870415.0,522322.0,522325.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0,3.0,1.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,6.0,85.0,11.0,8.0,0.0,0.3836,2.0,0.0,0.0,2.0,65.83,-99.0,-99.0,2.0,-99.0,1.0,0.0,0.0,-99.0,3.0,30000.0,12.0,7.0,3.0,89.85,2.0,10.0,42.86,71.43,33.33,1.0,11.0,2.0,-99.0,2.0,1.0,3.0,3.0,3.0,-99.0,-99.0,0.0432288721203804,0.0202,546.0,78.0,3.0,4.0,0.0,3.0,528.0,2.0,3.0,2.0,734.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0,2020-02,160051646360
0.0,0.0,16.0,18.0,19.0,79.37,1.0,554.0,10.0,2.0,3.0,0.0,0.0,60.0,64.0,565.0,784.0,0.28905,553.0,691.0,0.07096000000000001,647.0,-99.0,541.0,0.036591359500000004,606.0,595.0,595.0,485.0,2.0,63.0,25.0,-99.0,19940827.0,522427.0,441900.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,6.0,1.0,0.0,8.0,69.0,1.0,50.0,9.0,69.0,0.3868556903359198,16.0,320.55,0.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,35.0,9.0,2.0,4.0,7.0,1.0,1.0,3.0,4.0,2.0,1.0,-99.0,-99.0,-99.0,0.0,18.0,0.0,0.0,0.0,0.7020000000000001,3.0,0.0,0.0,6.0,96.2,-99.0,-99.0,0.0,-99.0,1.0,0.0,0.0,-99.0,2.0,30000.0,3.0,1.0,5.0,96.0,3.0,20.0,11.11,100.0,0.0,0.0,0.0,5.0,3.0,5.0,-99.0,6.0,6.0,6.0,-99.0,1.0,0.1443755775690079,0.0246,535.0,59.0,11.0,14.0,1.0,11.0,564.0,9.0,12.0,9.0,656.0,2106.83,3563.67,3.0,2715.17,5873.0,14630.4,6967.66,32582.0,31448.0,38.0,5599.0,41.0,22.0,20160215.0,8125.0,6536.0,23.0,14.0,16.0,16.0,7855.0,6266.0,20.0,11.0,15.0,11.0,4328.59,4143.81,4328.59,4143.81,100.0,100.0,16.0,6.0,1.0,20191218.0,20191218050000.0,25282.0,13012.0,7409.0,0.0,521.0,2.0,-99.0,0,2020-02,160051713690
26.0,0.6,40.0,42.0,43.0,89.09,2.0,614.0,8.0,1.0,1.0,0.0,0.0,0.0,60.0,578.0,850.0,0.1034,581.0,736.0,0.0613,-99.0,675.0,541.0,0.031002061,513.0,606.0,652.0,597.0,1.0,60.2,20.0,20.0,19991007.0,533122.0,533102.0,6.933333333333334,7.542857142857144,7.2,1.0,-99.0,1.0,-99.0,2.0,2.0,2.0,-99.0,1.0,3.0,-99.0,2.0,5.0,2.0,0.0,2.0,65.0,0.0,0.0,2.0,65.0,0.6144090330748218,7.0,177.77,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,6.0,3.0,35.0,6.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,-99.0,-99.0,-99.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,-99.0,9.0,-99.0,-99.0,7.0,3.0,81.905,2.0,15.0,50.0,50.0,0.0,0.0,0.0,5.0,-99.0,5.0,-99.0,5.0,4.0,5.0,-99.0,2.0,0.0231859274208546,0.0041,760.0,80.0,3.0,5.0,0.0,2.0,606.0,3.0,5.0,2.0,774.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4018.0,1335.0,34.0,5.0,6.0,21.0,2873.0,190.0,31.0,2.0,19.0,3.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,510.0,2.0,1.0,0,2020-03,160051926965
105.0,0.91,113.0,115.0,116.0,42.65,4.0,543.0,1.0,0.0,1.0,0.0,0.0,0.0,54.0,488.0,850.0,0.1571,449.0,727.0,0.01135,492.0,685.0,655.0,0.07223463549999999,684.0,733.0,624.0,635.0,4.0,78.0,25.0,25.0,19941002.0,510902.0,510114.0,6.8,6.9,6.2,1.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,0.0,1.0,4.0,1.0,1.0,1.0,83.0,0.0,0.0,1.0,83.0,0.0,1.0,83.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,5.0,29.0,29.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,510131.0,-99.0,-99.0,1.0,115.0,0.0,0.0,0.0,0.4971,1.0,0.0,0.0,3.0,62.54,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,-99.0,4.0,30000.0,6.0,1.0,3.0,91.51799999999999,2.0,15.0,101.0,50.0,102.0,0.0,0.0,3.0,-99.0,3.0,1.0,4.0,3.0,4.0,-99.0,1.0,0.037761777639389,0.01,647.0,47.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,722.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,906.0,492.0,44.0,38.0,41.0,19.0,906.0,492.0,44.0,38.0,19.0,17.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,520.0,2.0,-99.0,0,2020-03,160052690032
35.0,1.0,35.0,34.0,35.0,5.83,6.0,752.0,49.0,0.0,1.0,2.0,2.0,24.17,55.0,660.0,850.0,0.01927,699.0,572.0,0.00894,-99.0,531.0,703.0,0.008724519,706.0,751.0,667.0,629.0,3.0,69.3,25.0,25.0,19940605.0,310115.0,310100.0,8.019047619047619,7.871999999999999,7.7142857142857135,2.0,8.0,5.0,-99.0,3.0,2.0,2.0,1.0,-99.0,6.0,22.0,1.0,3.0,1.0,0.0,7.0,352.0,5.0,338.7,13.0,566.8,0.9040635996707642,86.0,3867.75,7.0,3.0,5.0,4.0,5.0,5.0,4.0,1.0,5.0,6.0,2.0,36.0,2.0,5.0,4.0,26.0,1.0,4.0,6.0,6.0,3.0,5.0,-99.0,310115.0,4.0,8.0,35.0,0.0,0.0,0.0,0.6485,1.0,0.0,0.0,5.0,65.35,0.0,8.0,0.0,-99.0,1.0,0.0,0.0,-99.0,2.0,30000.0,12.0,10.0,3.0,83.45299999999999,4.0,15.0,102.0,33.33,103.0,0.0,0.0,1.0,-99.0,1.0,-99.0,3.0,2.0,3.0,-99.0,1.0,0.04942348599433901,0.0039,692.0,57.0,12.0,14.0,4.0,6.0,511.0,7.0,9.0,3.0,839.0,2375.08,2968.83,1.25,2375.08,648.33,22481.56,1945.3,28501.0,28501.0,9.0,1945.3,15.0,952.0,20180330.0,6408.0,1124.0,28.0,0.0,3.0,18.0,5367.0,1124.0,22.0,0.0,13.0,3.0,5015.0,5015.0,5015.0,5015.0,703.0,703.0,17.0,9.0,3.0,20191203.0,20191203150000.0,28501.0,2109.0,11892.0,0.0,531.0,2.0,-99.0,0,2020-04,160052991195
11.0,1.0,11.0,11.0,12.0,57.88,5.0,710.0,52.0,0.0,2.0,0.0,0.0,68.08,71.0,631.0,745.0,0.05897,593.0,597.0,0.02748,-99.0,685.0,629.0,0.016867023000000002,516.0,668.0,618.0,574.0,4.0,61.0,23.0,-99.0,19961226.0,330327.0,330327.0,7.8461538461538485,7.725,7.476923076923076,2.0,2.0,2.0,1.0,6.0,6.0,5.0,2.0,1.0,6.0,9.0,2.0,6.0,0.0,2.0,8.0,125.21,3.0,102.59,18.0,191.3,0.9966262310381008,98.0,1283.26,20.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,6.0,3.0,36.0,4.0,3.0,4.0,22.0,2.0,2.0,5.0,6.0,0.0,1.0,-99.0,330327.0,3.0,8.0,11.0,0.0,0.0,0.0,0.2155,1.0,0.0,0.0,1.0,70.82,-99.0,-99.0,0.0,-99.0,1.0,0.0,0.053,-99.0,9.0,-99.0,-99.0,8.0,3.0,89.883,3.0,15.0,102.0,33.33,103.0,0.0,0.0,6.0,-99.0,6.0,2.0,6.0,5.0,6.0,-99.0,-99.0,0.0311641078442335,0.0054,638.0,60.0,12.0,12.0,1.0,5.0,600.0,6.0,6.0,4.0,813.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,6716.0,4960.0,37.0,8.0,11.0,19.0,6716.0,4960.0,36.0,8.0,18.0,4.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.0,-99.0,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,524.0,2.0,-99.0,0,2020-04,160053014531
